id;wave;age;male;religiousity;eduyears;rural;nzeuro;highestqual;rightwing;attitudechr;attitudemus;attitudehin;attitudebud;attitudejew;attitudeath;threatchr;threatmus;threathin;threatbud;threatjew;threatath;sciencefaith;measuredbothyears;notreligious;weight;neg_ms;neg_hd;neg_bd;neg_ch;neg_jw;neg_ath;thr_ms;thr_hd;thr_bd;thr_ch;thr_jw;thr_ath;a_c;a_10c;edu;rw_s;r_s;edu_s
1;2018;52;Not Male;6;16,0;Not Rural;1;3;4;4;4;4;4;4;3;3;3;3;3;3;3;3;1;1;2,605534643183093;Somewhat negative;Somewhat negative;Somewhat negative;Somewhat negative;Somewhat negative;Neither negative nor positive;Not very threatening;Not very threatening;Not very threatening;Not very threatening;Not very threatening;2;2,444530046224962;0,2444530046224962;3;-0,4705417638492133;0,999539230676750;-0,41586461830914989
1;2019;53;Not Male;4;13,0;Not Rural;1;3;3;3;4;4;3;3;3;2;2;2;2;2;3;3;1;1;2,605534643183093;Somewhat negative;Somewhat negative;Neither negative nor positive;Neither negative nor positive;Neither negative nor positive;Neither negative nor positive;Somewhat threatening;Somewhat threatening;Somewhat threatening;Somewhat threatening;Somewhat threatening;2;3,444530046224962;0,3444530046224962;3;-0,9196022732618320;-0,197859759896129;-0,41586461830914989
2;2018;63;Not Male;3;10,0;Not Rural;1;5;4;4;4;3;3;3;3;2;2;4;4;4;4;3;1;0;0,400907054467228;Somewhat negative;Neither negative nor positive;Neither negative nor positive;Somewhat negative;Neither negative nor positive;Neither negative nor positive;Somewhat threatening;Not threatening at all;Not threatening at all;Somewhat threatening;Not threatening at all;1;13,444530046224962;1,3444530046224963;5;-0,4705417638492133;-0,796559255182569;0,42959120106507537
2;2019;64;Not Male;4;12,0;Not Rural;1;5;1;4;4;3;3;2;3;2;3;4;4;4;4;5;1;0;0,400907054467228;Somewhat negative;Neither negative nor positive;Neither negative nor positive;Somewhat negative;Somewhat positive;Neither negative nor positive;Not very threatening;Not threatening at all;Not threatening at all;Somewhat threatening;Not threatening at all;1;14,444530046224962;1,4444530046224962;5;-1,8177232920870694;-0,197859759896129;0,42959120106507537
3;2018;64;Male;4;NA;Not Rural;1;4;8;3;4;3;3;3;3;3;2;3;3;3;3;4;1;0;1,517687991467786;Somewhat negative;Neither negative nor positive;Neither negative nor positive;Neither negative nor positive;Neither negative nor positive;Neither negative nor positive;Somewhat threatening;Not very threatening;Not very threatening;Not very threatening;Not very threatening;2;14,444530046224962;1,4444530046224962;4;1,3257002738012613;-0,197859759896129;0,00686329137796273
3;2019;65;Male;6;16,0;Rural;1;5;7;3;5;3;3;3;3;3;1;3;3;3;3;4;1;1;1,517687991467786;Very Negative;Neither negative nor positive;Neither negative nor positive;Neither negative nor positive;Neither negative nor positive;Neither negative nor positive;Very threatening;Not very threatening;Not very threatening;Not very threatening;Not very threatening;2;15,444530046224962;1,5444530046224962;5;0,8766397643886427;0,999539230676750;0,42959120106507537
4;2018;29;Male;7;11,0;Not Rural;NA;2;8;4;5;5;5;5;1;4;4;4;4;4;4;5;1;1;1,652950659945468;Very Negative;Very Negative;Very Negative;Somewhat negative;Very Negative;Very positive;Not threatening at all;Not threatening at all;Not threatening at all;Not threatening at all;Not threatening at all;1;-20,555469953775038;-2,0555469953775036;2;1,3257002738012613;1,598238725963189;-0,83859252799626249
4;2019;30;Male;7;13,0;Not Rural;1;4;8;5;5;5;3;5;2;4;4;4;4;4;4;5;1;1;1,652950659945468;Very Negative;Very Negative;Neither negative nor positive;Very Negative;Very Negative;Somewhat positive;Not threatening at all;Not threatening at all;Not threatening at all;Not threatening at all;Not threatening at all;1;-19,555469953775038;-1,9555469953775038;4;1,3257002738012613;1,598238725963189;0,00686329137796273
5;2018;41;Male;5;11,0;Rural;1;2;6;3;4;3;3;3;3;2;2;2;2;2;2;4;1;0;2,466401849302319;Somewhat negative;Neither negative nor positive;Neither negative nor positive;Neither negative nor positive;Neither negative nor positive;Neither negative nor positive;Somewhat threatening;Somewhat threatening;Somewhat threatening;Somewhat threatening;Somewhat threatening;3;-8,555469953775038;-0,8555469953775038;2;0,4275792549760240;0,400839735390310;-0,83859252799626249
5;2019;42;Male;5;14,0;Rural;1;2;7;3;3;3;3;3;3;NA;NA;NA;NA;NA;NA;4;1;1;2,466401849302319;Neither negative nor positive;Neither negative nor positive;Neither negative nor positive;Neither negative nor positive;Neither negative nor positive;Neither negative nor positive;NA;NA;NA;NA;NA;NA;-7,555469953775038;-0,7555469953775038;2;0,8766397643886427;0,400839735390310;-0,83859252799626249
