Wave;years;Age;Male;Gender;Edu;Partner;BornNZ;BigDoms;TSCORE;GenCohort;Religion.Church;Religion.Believe.Cats;Relid;HLTH.Fatigue;HLTH.SleepHours;HomeOwner;Pol.Orient;PATRIOT;Env.SatNZEnvironment;Env.MotorwaySpend;Env.PubTransSubs;Env.ClimateChgConcern;LIFEMEANING;Hours.Internet;Issue.GovtSurveillance;Issue.RegulateAI;Issue.IncomeRedistribution;Hours.Exercise;Hours.Work;Hours.News;CONSCIENTIOUSNESS;EXTRAVERSION;AGREEABLENESS;OPENNESS;Religious;Spiritual.Identification;Believe.God;Believe.Spirit;HoursCharity;CharityDonate;Your.Personal.Relationships;Your.Future.Security;Standard.Living;NZ.Economic.Situation;NZ.Social.Conditions;NZ.Business.Conditions;Emp.JobSecure;Issue.Food.GMO;Env.SacMade;KESSLER6sum;Id
2018;8,87611225188227;41;Not_Male;0;7;0;1;Not_Rel;3303;GenX: born >=1961 & b.< 1980;0;1;0;3;7,00;1;NA;5,5;7;4;4;7;4,5;5,0000;4;4;5;4,00;40,00;0,00;4,50000000000000;4,50000000000000;6,00000000000000;3,00000000000000;Not_Religious;6;Believe God;Believe Spirit;0,0;NA;8;8;8;6;8;8;6;7;NA;7,0;1
2018;9,90280629705681;57;Male;1;1;1;1;Not_Rel;3678;GenX: born >=1961 & b.< 1980;0;1;0;2;6,50;1;4;6,0;6;7;7;6;5,0;8,0000;5;7;7;2,00;50,00;9,00;4,75000000000000;2,75000000000000;3,75000000000000;2,50000000000000;Not_Religious;5;Believe God;Believe Spirit;0,0;0,0;4;4;7;5;5;4;6;7;NA;7,0;2
2018;9,43189596167009;55;Not_Male;0;3;1;1;Not_Rel;3506;GenX: born >=1961 & b.< 1980;0;3;0;1;6,00;1;6;5,0;7;5;5;3;4,0;14,0000;7;5;4;6,00;28,00;8,00;5,00000000000000;3,75000000000000;5,50000000000000;4,00000000000000;Not_Religious;2;Not Believe God;Believe Spirit;0,0;700,0;4;5;7;3;7;4;7;4;NA;13,0;3
2018;9,53867214236824;37;Not_Male;0;7;1;1;Not_Rel;3545;GenY: born >=1980 & b.< 1996;0;4;0;3;7,00;1;4;7,0;6;7;3;5;6,0;0,0000;7;4;4;3,00;40,00;0,00;3,00000000000000;6,25000000000000;6,75000000000000;6,00000000000000;Not_Religious;1;Not Believe God;Not Believe Spirit;0,0;50,0;2;9;9;6;5;7;2;7;NA;6,0;4
2018;8,95824777549624;58;Male;1;4;0;1;Christian;3333;Gen Boombers: born >= 1946 & b.< 1961;0;1;4;0;7,00;0;4;3,0;0;4;4;4;5,5;0,0000;4;7;4;9,00;0,00;0,00;5,00000000000000;4,33333333333333;4,75000000000000;4,75000000000000;Religious;3;Believe God;Believe Spirit;9,0;NA;10;5;10;0;0;0;NA;7;NA;0,0;5
2018;8,86516084873374;51;Not_Male;0;3;0;1;Not_Rel;3299;GenX: born >=1961 & b.< 1980;0;1;0;0;5,00;1;2;6,0;3;3;7;7;7,0;4,0000;5;5;7;5,00;1,50;2,00;5,75000000000000;3,75000000000000;6,75000000000000;5,75000000000000;Not_Religious;5;Believe God;Believe Spirit;12,0;40,0;10;7;8;5;3;4;NA;6;NA;0,0;6
2018;8,99931553730322;54;Not_Male;0;0;0;1;Not_Rel;3348;GenX: born >=1961 & b.< 1980;0;1;0;0;8,00;1;4;4,5;8;6;6;7;6,5;9,0000;6;5;4;0,00;40,00;9,00;6,00000000000000;4,00000000000000;4,75000000000000;4,25000000000000;Not_Religious;2;Believe God;Believe Spirit;0,0;100,0;8;7;9;9;9;7;7;6;NA;0,0;7
2018;9,22929500342231;54;Not_Male;0;8;1;1;Not_Rel;3432;GenX: born >=1961 & b.< 1980;0;4;0;0;7,00;1;4;6,5;6;7;2;4;7,0;2,0000;5;2;1;6,00;50,00;1,00;6,75000000000000;4,75000000000000;4,00000000000000;4,25000000000000;Not_Religious;2;Not Believe God;Not Believe Spirit;0,0;30,0;5;9;10;8;4;8;7;7;NA;0,0;8
2018;8,81314168377823;32;Male;1;1;1;0;Not_Rel;3280;GenY: born >=1980 & b.< 1996;0;4;0;4;8,00;0;1;3,0;3;7;7;7;1,5;35,0000;1;1;7;20,00;40,00;1,00;1,75000000000000;4,50000000000000;4,00000000000000;3,50000000000000;Not_Religious;1;Not Believe God;Not Believe Spirit;0,0;100,0;10;0;6;0;1;5;3;1;NA;4,0;9
2018;9,14989733059548;66;Not_Male;0;2;1;0;Christian;3403;Gen Boombers: born >= 1946 & b.< 1961;0;1;4;1;8,00;1;4;7,0;4;6;4;5;5,5;4,0000;7;2;1;12,00;0,00;4,00;7,00000000000000;4,75000000000000;6,00000000000000;6,75000000000000;Religious;5;Believe God;Believe Spirit;0,0;200,0;9;4;8;5;10;4;NA;7;NA;8,0;10
