Wave;years;Age;Male;Gender;Edu;Partner;BornNZ;BigDoms;TSCORE;GenCohort;Religion.Church;Religion.Believe.Cats;Relid;HLTH.Fatigue;HLTH.SleepHours;HomeOwner;Pol.Orient;PATRIOT;Env.SatNZEnvironment;Env.MotorwaySpend;Env.PubTransSubs;Env.ClimateChgConcern;LIFEMEANING;Hours.Internet;Issue.GovtSurveillance;Issue.RegulateAI;Issue.IncomeRedistribution;Hours.Exercise;Hours.Work;Hours.News;CONSCIENTIOUSNESS;EXTRAVERSION;AGREEABLENESS;OPENNESS;Religious;Spiritual.Identification;Believe.God;Believe.Spirit;HoursCharity;CharityDonate;Your.Personal.Relationships;Your.Future.Security;Standard.Living;NZ.Economic.Situation;NZ.Social.Conditions;NZ.Business.Conditions;Emp.JobSecure;Issue.Food.GMO;Env.SacMade;KESSLER6sum;Id
2018;9,14442162902122;43;Not_Male;0;1;1;0;Not_Rel;3401;GenX: born >=1961 & b.< 1980;0,0;4;0;1;8,00;1;1;4,5;5;4;4;7;6,0;8,00;1;4;6;0,00;30,00;0,00;5,25000000000000;6,50000000000000;5,50000000000000;7,00000000000000;Not_Religious;4;Not Believe God;Not Believe Spirit;0,0;1000,000;9;8;8;8;4;8;7;7;NA;5,0;1
2018;8,82135523613963;34;Not_Male;0;3;1;1;Not_Rel;3283;GenY: born >=1980 & b.< 1996;0,0;4;0;3;7,00;1;2;6,0;4;6;6;4;5,0;21,00;5;4;3;4,00;0,00;14,00;6,25000000000000;4,75000000000000;6,25000000000000;6,00000000000000;Not_Religious;3;Not Believe God;Not Believe Spirit;6,0;500,000;9;5;8;2;3;6;NA;4;NA;6,0;2
2018;8,81314168377823;55;Not_Male;0;9;0;1;Not_Rel;3280;GenX: born >=1961 & b.< 1980;0,0;1;0;0;6,50;1;5;7,0;6;2;7;5;6,5;10,00;7;3;7;0,00;45,00;4,00;6,25000000000000;6,50000000000000;6,25000000000000;6,75000000000000;Not_Religious;5;Believe God;Believe Spirit;0,0;250,000;8;7;8;8;6;6;3;5;NA;4,0;3
2018;8,80766598220397;23;Not_Male;0;9;1;1;Not_Rel;3278;GenY: born >=1980 & b.< 1996;0,0;3;0;3;7,00;1;1;6,0;5;5;7;7;4,0;5,00;4;4;4;5,00;40,00;5,00;5,75000000000000;5,25000000000000;4,50000000000000;6,25000000000000;Not_Religious;4;Not Believe God;Believe Spirit;0,0;100,000;7;3;7;6;7;7;5;3;NA;4,0;4
2018;8,81861738535250;35;Not_Male;0;5;1;1;Not_Rel;3282;GenY: born >=1980 & b.< 1996;0,0;3;0;2;6,50;1;1;7,0;8;2;7;6;3,5;20,00;6;1;5;5,00;40,00;0,00;2,00000000000000;6,25000000000000;7,00000000000000;6,75000000000000;Not_Religious;3;Not Believe God;Believe Spirit;0,0;100,000;4;5;7;4;7;5;6;2;NA;6,0;5
2018;8,80766598220397;40;Male;1;NA;1;1;Not_Rel;3278;GenX: born >=1961 & b.< 1980;0,0;3;0;2;6,50;1;4;5,0;4;5;6;5;5,0;1,00;6;2;4;1,00;48,00;1,00;5,25000000000000;5,50000000000000;5,00000000000000;4,50000000000000;Not_Religious;4;Not Believe God;Believe Spirit;0,0;200,000;9;7;6;5;3;6;5;4;NA;1,0;6
2018;9,42642026009582;56;Male;1;7;1;1;Not_Rel;3504;GenX: born >=1961 & b.< 1980;0,0;4;0;1;8,00;1;2;4,5;3;2;7;7;5,5;20,00;3;3;6;10,00;40,00;10,00;5,75000000000000;4,50000000000000;5,50000000000000;4,25000000000000;Not_Religious;6;Not Believe God;Not Believe Spirit;0,0;0,000;10;6;6;6;3;6;3;2;NA;5,0;7
2018;9,97672826830938;64;Not_Male;0;1;0;1;Not_Rel;3705;Gen Boombers: born >= 1946 & b.< 1961;0,0;3;0;0;7,00;0;4;6,5;1;4;7;7;4,0;20,00;5;7;4;7,50;0,00;0,00;3,75000000000000;5,00000000000000;5,00000000000000;5,50000000000000;Not_Religious;6;Not Believe God;Believe Spirit;4,0;0,000;10;8;10;3;7;5;NA;7;NA;2,0;8
2018;8,81040383299110;50;Male;1;8;1;1;Not_Rel;3279;GenX: born >=1961 & b.< 1980;0,0;4;0;0;8,00;1;3;6,0;6;5;5;6;4,0;7,00;6;5;5;3,00;45,00;7,00;4,00000000000000;3,75000000000000;4,75000000000000;5,00000000000000;Not_Religious;2;Not Believe God;Not Believe Spirit;0,0;150,000;5;8;8;7;5;7;5;5;NA;4,0;9
2018;8,88158795345654;23;Not_Male;0;7;0;0;Not_Rel;3305;GenY: born >=1980 & b.< 1996;0,0;4;0;2;8,00;0;2;5,0;6;3;7;6;4,0;14,00;NA;3;6;0,00;45,00;3,00;4,75000000000000;4,00000000000000;4,50000000000000;5,25000000000000;Not_Religious;1;Not Believe God;Not Believe Spirit;0,0;100,000;6;6;7;6;3;5;5;4;NA;10,0;10
