id;age;male;eduyears;nzeuro;rightwing;neg_ath;neg_bd;neg_ch;neg_hd;neg_jw;neg_ms;thr_ath;thr_bd;thr_ch;thr_hd;thr_jw;rural;thr_ms;wave;religiosity
1;52;Not Male;16,0;1;4;Neither negative nor positive;Somewhat negative;Somewhat negative;Somewhat negative;Somewhat negative;Somewhat negative;2;Not very threatening;Not very threatening;Not very threatening;Not very threatening;Not Rural;Not very threatening;2018;6
1;53;Not Male;13,0;1;3;Neither negative nor positive;Neither negative nor positive;Neither negative nor positive;Somewhat negative;Neither negative nor positive;Somewhat negative;2;Somewhat threatening;Somewhat threatening;Somewhat threatening;Somewhat threatening;Not Rural;Somewhat threatening;2019;4
2;63;Not Male;10,0;1;4;Neither negative nor positive;Neither negative nor positive;Somewhat negative;Neither negative nor positive;Neither negative nor positive;Somewhat negative;1;Not threatening at all;Somewhat threatening;Not threatening at all;Not threatening at all;Not Rural;Somewhat threatening;2018;3
2;64;Not Male;12,0;1;1;Neither negative nor positive;Neither negative nor positive;Somewhat negative;Neither negative nor positive;Somewhat positive;Somewhat negative;1;Not threatening at all;Somewhat threatening;Not threatening at all;Not threatening at all;Not Rural;Not very threatening;2019;4
3;64;Male;NA;1;8;Neither negative nor positive;Neither negative nor positive;Neither negative nor positive;Neither negative nor positive;Neither negative nor positive;Somewhat negative;2;Not very threatening;Not very threatening;Not very threatening;Not very threatening;Not Rural;Somewhat threatening;2018;4
3;65;Male;16,0;1;7;Neither negative nor positive;Neither negative nor positive;Neither negative nor positive;Neither negative nor positive;Neither negative nor positive;Very Negative;2;Not very threatening;Not very threatening;Not very threatening;Not very threatening;Rural;Very threatening;2019;6
4;29;Male;11,0;NA;8;Very positive;Very Negative;Somewhat negative;Very Negative;Very Negative;Very Negative;1;Not threatening at all;Not threatening at all;Not threatening at all;Not threatening at all;Not Rural;Not threatening at all;2018;7
4;30;Male;13,0;1;8;Somewhat positive;Neither negative nor positive;Very Negative;Very Negative;Very Negative;Very Negative;1;Not threatening at all;Not threatening at all;Not threatening at all;Not threatening at all;Not Rural;Not threatening at all;2019;7
5;41;Male;11,0;1;6;Neither negative nor positive;Neither negative nor positive;Neither negative nor positive;Neither negative nor positive;Neither negative nor positive;Somewhat negative;3;Somewhat threatening;Somewhat threatening;Somewhat threatening;Somewhat threatening;Rural;Somewhat threatening;2018;5
5;42;Male;14,0;1;7;Neither negative nor positive;Neither negative nor positive;Neither negative nor positive;Neither negative nor positive;Neither negative nor positive;Neither negative nor positive;NA;NA;NA;NA;NA;Rural;NA;2019;5
6;72;Male;12,0;1;8;Neither negative nor positive;Neither negative nor positive;Neither negative nor positive;Neither negative nor positive;Neither negative nor positive;Neither negative nor positive;1;Not threatening at all;Not threatening at all;Not threatening at all;Not threatening at all;Rural;Not threatening at all;2018;4
6;73;Male;NA;1;7;Somewhat positive;Somewhat positive;Somewhat positive;Somewhat positive;Somewhat positive;Somewhat positive;1;Not threatening at all;Not threatening at all;Not threatening at all;Not threatening at all;Rural;Not threatening at all;2019;4
7;46;Male;12,0;1;5;Very positive;Very positive;Somewhat positive;Somewhat positive;Somewhat positive;Somewhat positive;1;Not threatening at all;Not threatening at all;Not threatening at all;Not threatening at all;Rural;Not threatening at all;2018;3
7;47;Male;9,0;1;5;Very positive;Very positive;Very positive;Very positive;Very positive;Very positive;2;Not very threatening;Not very threatening;Not very threatening;Not very threatening;Rural;Not very threatening;2019;3
8;76;Male;18,0;1;8;Neither negative nor positive;Neither negative nor positive;Somewhat positive;Neither negative nor positive;Neither negative nor positive;Neither negative nor positive;2;Not very threatening;Not very threatening;Not very threatening;Not very threatening;Not Rural;Somewhat threatening;2018;4
8;77;Male;17,0;1;8;Neither negative nor positive;Neither negative nor positive;Neither negative nor positive;Neither negative nor positive;Neither negative nor positive;Somewhat negative;2;Not very threatening;Not very threatening;Not very threatening;Not very threatening;Not Rural;Somewhat threatening;2019;4
9;66;Male;14,0;1;8;Very positive;Somewhat positive;Very positive;Somewhat positive;Very positive;Somewhat positive;1;Not very threatening;Not threatening at all;Not very threatening;Not threatening at all;Not Rural;Not very threatening;2018;4
9;67;Male;15,0;1;8;Neither negative nor positive;Neither negative nor positive;Somewhat positive;Neither negative nor positive;Somewhat positive;Neither negative nor positive;2;Not threatening at all;Not threatening at all;Not threatening at all;Not threatening at all;NA;Not very threatening;2019;5
10;70;Not Male;17,0;1;5;Neither negative nor positive;Neither negative nor positive;Neither negative nor positive;Neither negative nor positive;Neither negative nor positive;Neither negative nor positive;1;Not threatening at all;Not threatening at all;Not threatening at all;Not threatening at all;Not Rural;Not threatening at all;2018;5
10;71;Not Male;12,0;1;4;Somewhat positive;Neither negative nor positive;Somewhat positive;Neither negative nor positive;Neither negative nor positive;Neither negative nor positive;1;Not threatening at all;Not threatening at all;Not threatening at all;Not threatening at all;Not Rural;Somewhat threatening;2019;4
11;21;Not Male;17,0;1;6;Somewhat positive;Somewhat positive;Somewhat negative;Neither negative nor positive;Somewhat positive;Neither negative nor positive;1;Not threatening at all;Somewhat threatening;Not very threatening;Not threatening at all;Not Rural;Not very threatening;2018;7
11;22;Not Male;17,0;1;6;Somewhat positive;Somewhat positive;Somewhat negative;Somewhat positive;Somewhat positive;Somewhat positive;2;Not threatening at all;Very threatening;Not very threatening;Not very threatening;Not Rural;Not very threatening;2019;7
12;59;Not Male;12,0;1;2;Neither negative nor positive;Neither negative nor positive;Neither negative nor positive;Neither negative nor positive;Somewhat negative;Very Negative;2;Not very threatening;Not very threatening;Not very threatening;Somewhat threatening;Rural;Very threatening;2018;6
12;60;Not Male;13,0;1;2;Neither negative nor positive;Neither negative nor positive;Neither negative nor positive;Neither negative nor positive;Somewhat negative;Somewhat negative;2;Not very threatening;Not very threatening;Not very threatening;Somewhat threatening;Not Rural;Somewhat threatening;2019;6
13;43;Male;15,0;1;7;Neither negative nor positive;Neither negative nor positive;Neither negative nor positive;Neither negative nor positive;Neither negative nor positive;Neither negative nor positive;2;Not very threatening;Not very threatening;Not very threatening;Not very threatening;Rural;Not very threatening;2018;6
13;44;Male;14,0;1;7;Neither negative nor positive;Neither negative nor positive;Neither negative nor positive;Neither negative nor positive;Neither negative nor positive;Neither negative nor positive;2;Not very threatening;Somewhat threatening;Not very threatening;Not very threatening;Rural;Not very threatening;2019;7
14;60;Not Male;10,0;1;5;Neither negative nor positive;Neither negative nor positive;Neither negative nor positive;Neither negative nor positive;Neither negative nor positive;Neither negative nor positive;1;Not threatening at all;Not threatening at all;Not threatening at all;Not threatening at all;Not Rural;Not threatening at all;2018;5
14;61;Not Male;10,0;1;6;Neither negative nor positive;Neither negative nor positive;Neither negative nor positive;Neither negative nor positive;Neither negative nor positive;Neither negative nor positive;1;Not threatening at all;Not threatening at all;Not threatening at all;Not threatening at all;Not Rural;Not threatening at all;2019;6
15;45;Male;17,0;1;3;Somewhat positive;Neither negative nor positive;Neither negative nor positive;Neither negative nor positive;Neither negative nor positive;Neither negative nor positive;1;Not threatening at all;Not threatening at all;Not threatening at all;Not threatening at all;Not Rural;Not very threatening;2018;7
15;46;Male;18,0;1;3;Neither negative nor positive;Neither negative nor positive;Neither negative nor positive;Neither negative nor positive;Neither negative nor positive;Neither negative nor positive;1;Not threatening at all;Not threatening at all;Not threatening at all;Not threatening at all;Not Rural;Not threatening at all;2019;6
16;63;Male;11,0;1;7;Neither negative nor positive;Neither negative nor positive;Somewhat positive;Neither negative nor positive;Neither negative nor positive;Very Negative;NA;Not very threatening;Not very threatening;NA;Not very threatening;Not Rural;Very threatening;2018;3
16;64;Male;11,0;1;6;Neither negative nor positive;Somewhat positive;Somewhat positive;Somewhat negative;Somewhat positive;Somewhat negative;NA;Not very threatening;Not very threatening;Somewhat threatening;Not very threatening;Not Rural;Somewhat threatening;2019;3
17;45;Male;14,0;NA;5;NA;NA;NA;Neither negative nor positive;NA;NA;NA;NA;NA;NA;NA;Not Rural;NA;2018;3
17;46;Male;14,0;NA;5;Somewhat positive;Somewhat positive;Somewhat positive;Somewhat positive;Somewhat positive;Somewhat positive;1;Not very threatening;Not very threatening;Not very threatening;Not very threatening;Not Rural;Somewhat threatening;2019;3
